Tip_name,Floral_architecture_code
PAPILIONOIDEAE_Psophocarpus_lancifolius_Thulin3997_JN008177,1
PAPILIONOIDEAE_Psophocarpus_tetragonolobus_MN966643,1
PAPILIONOIDEAE_Otoptera_burchellii_Skarpe134_JN008176,1
PAPILIONOIDEAE_Dysolobium_grande_Egan13819_KX713094,1
PAPILIONOIDEAE_Dysolobium_pilosum_Egan137011436_KX713095,1
PAPILIONOIDEAE_Eriosema_hatschbachii_FortunaPerez1401_KX198120,1
PAPILIONOIDEAE_Eriosema_irwinii_FortunaPerez1467_KX198122,1
PAPILIONOIDEAE_Eriosema_tacuaremboense_FortunaPerez1443_KX198125,1
PAPILIONOIDEAE_Eriosema_glaziovii_FortunaPerez1457_KX198119,1
PAPILIONOIDEAE_Eriosema_heterophyllum_Candido1068_KX198121,1
PAPILIONOIDEAE_Eriosema_campestre_FortunaPerez1436_KX198114,1
PAPILIONOIDEAE_Eriosema_floribundum_Cardoso4751_OL672879,1
PAPILIONOIDEAE_Eriosema_crinitum_MN966628,1
PAPILIONOIDEAE_Eriosema_simplicifolium_FortunaPerez2102_KX198123,1
PAPILIONOIDEAE_Eriosema_stenophyllum_Queiroz15074_KX988011,1
PAPILIONOIDEAE_Eriosema_chinense_Zhu20091051_KF621100,1
PAPILIONOIDEAE_Adenodolichos_punctatus_Robinson6064_KX213142,1
PAPILIONOIDEAE_Rhynchosia_himalensis_STE401_KF621104,1
PAPILIONOIDEAE_Dolichos_falciformis_MN966626,1
PAPILIONOIDEAE_Rhynchosia_edulis_GuadamuzBioBot11056_JQ587827,1
PAPILIONOIDEAE_Rhynchosia_leucophylla_Vargas10_KX198126,1
PAPILIONOIDEAE_Paracalyx_scariosus_Maesen2357_KX713112,1
PAPILIONOIDEAE_Bolusafra_bituminosa_MN966630,1
PAPILIONOIDEAE_Cajanus_cajan_NC031429,1
PAPILIONOIDEAE_Cajanus_crassus_MN936098,1
PAPILIONOIDEAE_Dunbaria_incana_MN966627,1
PAPILIONOIDEAE_Dunbaria_longeracemosa_ToyamaKYUM985_AB925145,1
PAPILIONOIDEAE_Flemingia_macrophylla_Su206_KF621101,1
PAPILIONOIDEAE_Flemingia_stricta_Tagane6910_LC080898,1
PAPILIONOIDEAE_Flemingia_prostrata_SCBGP4941_KP094092,1
PAPILIONOIDEAE_Butea_monosperma_Yi15241_NC047384,1
PAPILIONOIDEAE_Butea_superba_TH130206_EU106111,1
PAPILIONOIDEAE_Spatholobus_pulcher_NC049094,1
PAPILIONOIDEAE_Spatholobus_suberectus_NC048966,1
PAPILIONOIDEAE_Diphyllarium_mekongense_Egan13770_KX713091,1
PAPILIONOIDEAE_Mastersia_bakeri_Sidiyasa1306_KX713101,1
PAPILIONOIDEAE_Uraria_crinita_Shawpc0746K_JN407138,1
PAPILIONOIDEAE_Uraria_lagopodioides_Zhao3811_MT040621,1
PAPILIONOIDEAE_Uraria_oblonga_TaganeT1103_LC080896,1
PAPILIONOIDEAE_Uraria_picta_MN966649,1
PAPILIONOIDEAE_Carrissoa_angolensis_RibeiroSN_KX713084,1
PAPILIONOIDEAE_Christia_vespertilionis_Zhao6135_MT197595,1
PAPILIONOIDEAE_Grona_heterocarpos_unknownColl98555_MG867567,1
PAPILIONOIDEAE_Grona_styracifolia_NC046791,1
PAPILIONOIDEAE_Pycnospora_lutescens_Egan13730_KX713118,1
PAPILIONOIDEAE_Grona_barbata_SRPIS227476_EU717420,1
PAPILIONOIDEAE_Codariocalyx_motorius_Zhu20090832_KF621099,1
PAPILIONOIDEAE_Eleiotis_sororia_Maesen3966_KX713096,1
PAPILIONOIDEAE_Pleurolobus_gangeticus_ON186734,1
PAPILIONOIDEAE_Sohmaea_laxiflora_SCBGP4931_KP094091,1
PAPILIONOIDEAE_Hegnera_obcordata_Beusekom4135_KX713099,1
PAPILIONOIDEAE_Mecopus_nidulans_SugongWS1902_KX713102,1
PAPILIONOIDEAE_Huangtcia_renifolia_Yi14432_NC047370,1
PAPILIONOIDEAE_Trifidacanthus_unifoliolatus_Ridsdale1864_KX713120,1
PAPILIONOIDEAE_Urariopsis_brevissima_Zhao5615_MT197596,1
PAPILIONOIDEAE_Desmodium_grahamii_Gilbert364_EU025904,1
PAPILIONOIDEAE_Desmodium_uncinatum_MT528595,1
PAPILIONOIDEAE_Desmodium_rosei_Hodgson12883_EU025915,1
PAPILIONOIDEAE_Desmodium_angustifolium_Reina981966_JQ669630,1
PAPILIONOIDEAE_Desmodium_psilocarpum_Wojciechowski929_AY386896,1
PAPILIONOIDEAE_Desmodium_incanum_Worthington32961_JF501110,1
PAPILIONOIDEAE_Hanslia_adhaerens_Kajewski_251_KX713098_Verdesmum_species,1
PAPILIONOIDEAE_Melliniella_micrantha_Cheek16243_KX713103,1
PAPILIONOIDEAE_Alysicarpus_vaginalis_MN734440,1
PAPILIONOIDEAE_Ototropis_elegans_HLS0182_MN311775,1
PAPILIONOIDEAE_Pseudarthria_hookeri_Friis11375_KX713116,1
PAPILIONOIDEAE_Pseudarthria_panii_PZ02_MG674205,1
PAPILIONOIDEAE_Aphyllodium_biarticulatum_Blake16644,1
PAPILIONOIDEAE_Arthroclianthus_deplanchei_Labat3911_KX213147,1
PAPILIONOIDEAE_Monarthrocarpus_securiformis_Vogel4195_KX713104,1
PAPILIONOIDEAE_Arthroclianthus_sp_Queiroz16141_KY046182,1
PAPILIONOIDEAE_Hanslia_ormocarpoides_MN966631,1
PAPILIONOIDEAE_Nephrodesmus_sericeus_Labat3914_KX713106,1
PAPILIONOIDEAE_Ohwia_caudata_NC044105,1
PAPILIONOIDEAE_Aphyllodium_parvifolium_Barrett5580_KX713081,1
PAPILIONOIDEAE_Droogmansia_scaettaiana_Clark180_KX713092,1
PAPILIONOIDEAE_Tadehagi_pseudotriquetrum_PS0238MT01_HM049513,1
PAPILIONOIDEAE_Akschindlium_godefroyanum_Chantaranothai811_KX713079,1
PAPILIONOIDEAE_Dendrolobium_lanceolatum_MN966624,1
PAPILIONOIDEAE_Dendrolobium_triangulare_QuangHNK2617_KX713089,1
PAPILIONOIDEAE_Phyllodium_pulchellum_NC047237,1
PAPILIONOIDEAE_Tadehagi_triquetrum_Zhu20090521_KF621106,1
PAPILIONOIDEAE_Hylodesmum_glutinosum_WAB0132469236_KJ592991,1
PAPILIONOIDEAE_Hylodesmum_nudiflorum_NC2012375_KM212070,1
PAPILIONOIDEAE_Hylodesmum_pauciflorum_StefanovicSS0327_EU717421,1
PAPILIONOIDEAE_Hylodesmum_laxum_Zhu0513_KF621102,1
PAPILIONOIDEAE_Hylodesmum_podocarpum_unknownColl169505_MG867568,1
PAPILIONOIDEAE_Lespedeza_cuneata_StefanovicSS0324_EU717416,1
PAPILIONOIDEAE_Lespedeza_floribunda_NC042693,1
PAPILIONOIDEAE_Lespedeza_daurica_NC042748,1
PAPILIONOIDEAE_Lespedeza_maritima_DP149121_NC044115,1
PAPILIONOIDEAE_Lespedeza_bicolor_SRPIS286476_EU717415,1
PAPILIONOIDEAE_Lespedeza_thunbergii_Queiroz16144_KY118288,1
PAPILIONOIDEAE_Kummerowia_stipulacea_StefanovicSS4148_EU717417,1
PAPILIONOIDEAE_Kummerowia_striata_DP167901_NC044114,1
PAPILIONOIDEAE_Lespedeza_frutescens_StefanovicSS0325_EU717419,1
PAPILIONOIDEAE_Lespedeza_virginica_Jansen11_NC067538,1
PAPILIONOIDEAE_Campylotropis_macrocarpa_unknownColl109901_NC044100,1
PAPILIONOIDEAE_Craspedolobium_unijugum_Mattapha1100_KY241793,1
PAPILIONOIDEAE_Haymondia_wallichii_Egan12270_KX213226,1
PAPILIONOIDEAE_Mucuna_gigantea_WiriyakarunSW020610_AB627860,1
PAPILIONOIDEAE_Mucuna_monosperma_WiriyakarunSW210610_AB627859,1
PAPILIONOIDEAE_Mucuna_interrupta_WiriyakarunSW080910_AB627862,1
PAPILIONOIDEAE_Mucuna_warburgii_WiriyakarunSW031010_AB627861,1
PAPILIONOIDEAE_Mucuna_macrocarpa_unknownColl15001_NC044116,1
PAPILIONOIDEAE_Mucuna_pruriens_WiriyakarunSW260710_AB627857,1
PAPILIONOIDEAE_Cochlianthus_gracilis_Unvouchered_MF786827,1
PAPILIONOIDEAE_Kennedia_nigricans_DLEG920034_EU717424,1
PAPILIONOIDEAE_Kennedia_prostrata_MN966633,1
PAPILIONOIDEAE_Vandasina_retusa_Uhl602_KX213243,1
PAPILIONOIDEAE_Hardenbergia_violacea_MN966632,1
PAPILIONOIDEAE_Shuteria_involucrata_Mikage9552667_LC228058,1
PAPILIONOIDEAE_Shuteria_vestita_MN966644,1
PAPILIONOIDEAE_Apios_americana_NC025909,1
PAPILIONOIDEAE_Apios_priceana_Long68173101_KF272963,1
PAPILIONOIDEAE_Apios_fortunei_Li52602_KF279518,1
PAPILIONOIDEAE_Apios_delavayi_Li4088_KF272955,1
PAPILIONOIDEAE_Apios_carnea_Li6217_KF272945,1
PAPILIONOIDEAE_Kunstleria_ridleyi_Ambriansyah951_JX506598,1
PAPILIONOIDEAE_Kunstleria_sarawakensis_Ashton18036_KX988012,1
PAPILIONOIDEAE_Platycyamus_regnellii_Silva87_NC067537,1
PAPILIONOIDEAE_Platycyamus_ulei_Cid10159A_KX652184,1
PAPILIONOIDEAE_Derris_elegans_Larsen32828_JX506641,1
PAPILIONOIDEAE_Derris_pubipetala_Maxwell85370_JX506634,1
PAPILIONOIDEAE_Derris_glabra_Sirichamorn200923_JX506635,1
